city,street,housenumber,type,service_type,service_name,address,lat,lon
Маріуполь,улица Ладыгина,25,commercial,unknown,,"Маріуполь, улица Ладыгина, 25",47.10625109999999,37.5272233
Маріуполь,проспект Ленина,7,commercial,unknown,,"Маріуполь, проспект Ленина, 7",47.097133,37.543367
Маріуполь,проспект Ленина,14,commercial,unknown,,"Маріуполь, проспект Ленина, 14",47.097133,37.543367
Маріуполь,проспект Ленина,15,commercial,unknown,,"Маріуполь, проспект Ленина, 15",47.097133,37.543367
Маріуполь,проспект Ленина,15,commercial,unknown,,"Маріуполь, проспект Ленина, 15",47.097133,37.543367
Маріуполь,проспект Ленина,19,commercial,unknown,,"Маріуполь, проспект Ленина, 19",47.097133,37.543367
Маріуполь,проспект Ленина,21,commercial,unknown,,"Маріуполь, проспект Ленина, 21",47.097133,37.543367
Маріуполь,проспект Ленина,24/24,commercial,unknown,,"Маріуполь, проспект Ленина, 24/24",47.097133,37.543367
Маріуполь,проспект Ленина,34,commercial,unknown,,"Маріуполь, проспект Ленина, 34",47.097133,37.543367
Маріуполь,проспект Ленина,34,commercial,unknown,,"Маріуполь, проспект Ленина, 34",47.097133,37.543367
Маріуполь,проспект Ленина,35,commercial,unknown,,"Маріуполь, проспект Ленина, 35",47.097133,37.543367
Маріуполь,проспект Ленина,43,commercial,unknown,,"Маріуполь, проспект Ленина, 43",47.097133,37.543367
Маріуполь,проспект Ленина,43,commercial,unknown,,"Маріуполь, проспект Ленина, 43",47.097133,37.543367
Маріуполь,проспект Ленина,47,commercial,unknown,,"Маріуполь, проспект Ленина, 47",47.097133,37.543367
Маріуполь,проспект Ленина,63/2,commercial,unknown,,"Маріуполь, проспект Ленина, 63/2",47.097133,37.543367
Маріуполь,"проспект Ленина, 66/39, 10",11,commercial,unknown,,"Маріуполь, проспект Ленина, 66/39, 10, 11",47.097133,37.543367
Маріуполь,проспект Ленина,68Б,commercial,unknown,,"Маріуполь, проспект Ленина, 68Б",47.097133,37.543367
Маріуполь,проспект Ленина,76,commercial,unknown,,"Маріуполь, проспект Ленина, 76",47.097133,37.543367
Маріуполь,"проспект Ленина, 81, пом. 1",,commercial,unknown,,"Маріуполь, проспект Ленина, 81, пом. 1",47.097133,37.543367
Маріуполь,проспект Ленина,82,commercial,unknown,,"Маріуполь, проспект Ленина, 82",47.097133,37.543367
Маріуполь,проспект Ленина,90,commercial,unknown,,"Маріуполь, проспект Ленина, 90",47.097133,37.543367
Маріуполь,проспект Ленина,93В,commercial,unknown,,"Маріуполь, проспект Ленина, 93В",47.097133,37.543367
Маріуполь,проспект Ленина,94,commercial,unknown,,"Маріуполь, проспект Ленина, 94",47.097133,37.543367
Маріуполь,"проспект Ленина, 107, пом. 138",,commercial,unknown,,"Маріуполь, проспект Ленина, 107, пом. 138",47.097133,37.543367
Маріуполь,проспект Ленина,111А,commercial,unknown,,"Маріуполь, проспект Ленина, 111А",47.097133,37.543367
Маріуполь,проспект Ленина,111А,commercial,unknown,,"Маріуполь, проспект Ленина, 111А",47.097133,37.543367
Маріуполь,улица Ломизова,10,commercial,unknown,,"Маріуполь, улица Ломизова, 10",47.1023718,37.6246072
Маріуполь,проспект Лунина,23,commercial,unknown,,"Маріуполь, проспект Лунина, 23",47.0674626,37.5103097
Маріуполь,проспект Лунина,31,commercial,unknown,,"Маріуполь, проспект Лунина, 31",47.06561689999999,37.5080284
Маріуполь,проспект Лунина,33,commercial,unknown,,"Маріуполь, проспект Лунина, 33",47.0651074,37.5075399
Маріуполь,проспект Лунина,33,commercial,unknown,,"Маріуполь, проспект Лунина, 33",47.0651074,37.5075399
Маріуполь,улица Мамина Сибиряка,39,commercial,unknown,,"Маріуполь, улица Мамина Сибиряка, 39",47.1487746,37.6078957
